trade_id,ticker,trade_date,trade_type,trade_volume,trade_price,total_value,customer_id,broker_id,market,order_type,trade_status,currency,transaction_fee,net_value,trade_execution_time,settlement_date,exchange_rate,commission,exchange_name,account_status
bdd640fb-0667-4ad1-9c80-317fa3b1799d,FB,2022-08-06 19:21:13,sell,271,657.91,742.51,bc8960a9-23b8-41e9-b924-56de3eb13b90,e465e150-bd9c-46b3-ad3c-2d6d1a3d1fa7,OTC,buy,pending,USD,20.14,1224.0,offer,2020-12-30 10:18:36,1.18,40.16,NASDAQ,active
07a0ca6e-0822-48f3-ac03-1199972a8469,GOOGL,2021-01-20 10:06:17,buy,578,1367.38,1342.03,9a1de644-815e-46d1-bb8f-aa1837f8a88b,b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,OTC,sell,executed,USD,34.89,1151.69,rate,2024-11-22 09:27:47,0.81,21.41,NYSE,on-hold
96da1dac-72ff-4d2a-b86e-cbe06b65a6a4,FB,2022-08-16 15:05:01,buy,680,924.83,1116.59,c241330b-01a9-471f-9e8a-774bcf36d58b,6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,OTC,sell,executed,USD,27.84,181.55,grow,2022-08-15 15:16:12,0.99,7.37,NASDAQ,locked
c37459ee-f50b-4a63-b71e-cd7b27cd8130,AMZN,2023-02-14 01:59:23,sell,205,601.91,912.74,18c26797-6142-4a7d-97be-31111a2a73ed,9a8dca03-580d-4b71-98f5-64135be6128e,OTC,sell,canceled,USD,8.02,874.28,everything,2020-08-17 07:34:50,0.82,21.64,NASDAQ,on-hold
1ff49b78-8946-4e85-b59c-de66bacfb3d0,MSFT,2023-06-24 09:15:01,buy,900,111.5,902.43,d453dd32-4b0d-4b41-8d52-88f1142c3fe8,dc98d2c1-e2ac-472f-9e57-4f7aa0ee89ae,NASDAQ,buy,executed,JPY,24.74,1322.84,high,2025-03-03 02:10:39,1.17,42.95,OTC,on-hold
0bbb2599-11ce-4dd2-b45e-d1f03139d32c,AAPL,2022-03-13 09:00:28,sell,656,362.92,689.56,146d3f31-fc37-4a4c-8a15-544dc5e7ce8a,19db3ad0-ddd1-4fb2-bb98-2ef8daf61a26,NYSE,buy,canceled,JPY,4.38,282.25,husband,2022-08-15 22:53:43,0.87,49.62,NASDAQ,on-hold
5d65a441-d588-42de-a2bc-372f7412b293,AMZN,2021-08-22 16:02:58,buy,266,281.7,849.12,ab9099a4-35a2-40ae-9af3-05535ec42e08,aefcfad8-efc8-4849-b3aa-7efe4458a885,OTC,buy,executed,EUR,1.78,1373.3,raise,2020-11-12 03:50:17,0.96,43.04,OTC,locked
88bd6407-2bcf-4e01-a28d-efe39bf00273,NFLX,2022-05-04 22:06:24,buy,995,471.72,195.7,451b4cf3-6123-4df7-b656-af7229d4beef,b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,NASDAQ,buy,pending,USD,4.13,1463.5,onto,2022-02-15 15:22:30,1.01,30.49,NASDAQ,on-hold
c4b032cc-d7c5-44a5-9304-317faf42e12f,MSFT,2020-09-25 02:43:00,buy,250,1170.76,294.26,ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,NYSE,buy,canceled,USD,3.41,769.2,development,2025-01-30 11:41:27,1.03,18.43,NYSE,on-hold
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,AMZN,2024-07-03 09:03:43,sell,82,853.91,194.49,a491f0b2-ea1f-4a65-a27a-984d654821d0,23bed01d-43cf-4fde-a493-3b83757750a9,OTC,buy,executed,JPY,30.79,598.8,employee,2025-01-12 10:19:23,1.02,4.44,NYSE,locked
95a76d79-bf3c-4c06-8343-08bc89fa6a68,NFLX,2023-11-26 10:01:20,sell,282,686.18,884.23,5cabcc97-663f-4c97-9562-69f0e5d7b875,2369b584-ff5e-4ff0-bf50-bde4382567b8,NYSE,sell,executed,EUR,41.75,1254.18,Mr,2024-06-15 14:53:21,0.84,10.95,NYSE,active
dc713d96-0c0f-4195-817a-f08a1745d6d8,GOOGL,2021-03-10 23:42:47,buy,128,626.03,504.16,cac5b68c-28f4-4481-a0a0-4dc427209bdf,10435a10-98ae-4334-ac12-ace8ae340454,NASDAQ,buy,canceled,EUR,29.66,324.59,image,2023-07-03 23:16:38,1.15,19.24,NYSE,locked
877409a9-77d2-4e02-bf01-cf99988c24c9,FB,2022-05-25 10:28:34,sell,301,540.91,1217.98,f143262f-dc5c-4eed-8da0-365bf89897b9,1d53434b-b881-49b9-ae27-0da702f06b90,NASDAQ,sell,canceled,JPY,11.32,1456.29,rest,2024-10-28 15:05:27,1.14,39.25,OTC,on-hold
a4161293-c4c2-42e3-844e-a7c8c0398710,TSLA,2023-02-25 05:00:10,sell,272,1417.11,313.9,287d06ca-6f4c-469a-8b22-d3081c8eaee9,b8db0672-f42d-47cc-80d4-af5974273ca3,OTC,sell,canceled,JPY,6.16,1293.3,type,2022-07-01 15:23:30,1.16,10.39,NASDAQ,on-hold
2dbc2134-c30f-446e-8026-695ff8cda88b,AAPL,2024-07-29 15:10:13,buy,747,485.51,1232.89,a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,81f631d4-a392-41a7-9777-a4774c66e0a8,NASDAQ,buy,executed,JPY,31.52,1137.88,politics,2021-12-13 07:34:04,1.11,26.37,NYSE,locked
295b4715-c333-4861-9fb8-d16c2720797d,NFLX,2024-11-05 02:41:46,sell,164,1237.46,1219.75,87c5421e-ec24-43c5-8754-108ff4188f3f,52fbe43b-9954-4eb4-8025-7ad1eb2263dd,OTC,buy,pending,JPY,12.42,527.29,middle,2020-06-03 19:58:20,1.13,39.84,OTC,active
